genEra,marketId,year,period,nRuns,mean_hhi_x10000,mean_gap12,mean_gap15,mean_chr_lane_share,mean_spoken_word_share,mean_public_share,mean_country_share,mean_gospel_share,mean_spanish_share,mean_spanish_language_share,mean_spanish_share_legacy,mean_nBook,top5_mean_formats,num1_format_key_histogram,num1_format_raw_histogram,actual_top40_win_rate,expected_top40_weight,mismatch_top40,expected_top_buckets,actual_top_buckets,chr_bucket_total_share,expected_chr_bucket_strength,chr_lineage_station_count,chr_avg_share_per_station,chr_leader_share,expected_chr_leader_share_cap,mismatch_chr_bucket,mismatch_chr_concentration
1985,wichita,1995,1,8,1013.90,1.26,8.59,4.57,13.91,3.96,19.62,1.26,0.00,0.00,0.00,18.00,COUNTRY:0.1962|ADULT_CONTEMP:0.1665|NEWS_TALK:0.1178|CLASSIC_HITS:0.1009|URBAN_CONTEMP:0.0938,COUNTRY:5|ADULT_CONTEMP:3,COUNTRY:5|ADULT_CONTEMP:3,0.00,10.34,,TOP40_CHR:0.1034|AC_HOT_AC:0.0548|ROCK_ALT_AAA:0.0767|COUNTRY:0.1929|NEWS_TALK_SPORTS:0.1272|PUBLIC_RADIO:0.0557|URBAN_RHYTHMIC:0.1092|SPANISH:0.0415|GOSPEL_CCM:0.2388,TOP40_CHR:0.0444|AC_HOT_AC:0.1615|ROCK_ALT_AAA:0.3021|COUNTRY:0.1903|NEWS_TALK_SPORTS:0.1479|PUBLIC_RADIO:0.0384|URBAN_RHYTHMIC:0.0909|SPANISH:0.0000|GOSPEL_CCM:0.0245,4.57,15.52,2.00,2.29,2.74,9.92,,
1985,wichita,2000,1,8,938.43,3.99,8.17,3.64,14.63,3.91,18.35,1.90,0.00,0.00,0.00,18.00,COUNTRY:0.1835|ADULT_CONTEMP:0.1661|NEWS_TALK:0.1282|CLASSIC_ROCK:0.1013|CLASSIC_HITS:0.0990,COUNTRY:7|ADULT_CONTEMP:1,COUNTRY:7|ADULT_CONTEMP:1,0.00,12.29,,TOP40_CHR:0.1229|AC_HOT_AC:0.0595|ROCK_ALT_AAA:0.0744|COUNTRY:0.1871|NEWS_TALK_SPORTS:0.1234|PUBLIC_RADIO:0.0540|URBAN_RHYTHMIC:0.1059|SPANISH:0.0414|GOSPEL_CCM:0.2316,TOP40_CHR:0.0336|AC_HOT_AC:0.1532|ROCK_ALT_AAA:0.3085|COUNTRY:0.1693|NEWS_TALK_SPORTS:0.1838|PUBLIC_RADIO:0.0361|URBAN_RHYTHMIC:0.0875|SPANISH:0.0000|GOSPEL_CCM:0.0281,3.64,13.58,1.75,2.00,2.41,8.31,,
1985,wichita,2006,1,8,804.78,3.30,6.66,0.38,14.00,3.64,14.63,2.72,0.53,0.53,0.53,19.00,ADULT_CONTEMP:0.1644|COUNTRY:0.1463|CLASSIC_ROCK:0.1176|NEWS_TALK:0.1132|URBAN_CONTEMP:0.0931,ADULT_CONTEMP:4|COUNTRY:4,ADULT_CONTEMP:4|COUNTRY:4,0.00,13.94,,TOP40_CHR:0.1394|AC_HOT_AC:0.0881|ROCK_ALT_AAA:0.0700|COUNTRY:0.1761|NEWS_TALK_SPORTS:0.1162|PUBLIC_RADIO:0.0509|URBAN_RHYTHMIC:0.0997|SPANISH:0.0416|GOSPEL_CCM:0.2180,TOP40_CHR:0.0260|AC_HOT_AC:0.1404|ROCK_ALT_AAA:0.3282|COUNTRY:0.1250|NEWS_TALK_SPORTS:0.1705|PUBLIC_RADIO:0.0311|URBAN_RHYTHMIC:0.0796|SPANISH:0.0121|GOSPEL_CCM:0.0669|OTHER:0.0203,0.38,11.58,0.13,0.38,0.38,6.56,,
1985,wichita,2010,1,8,757.44,1.01,5.79,2.25,14.75,3.40,17.67,2.11,0.32,0.32,0.32,19.00,COUNTRY:0.1767|ADULT_CONTEMP:0.1608|NEWS_TALK:0.1171|TOP40:0.0902|URBAN_CONTEMP:0.0866,COUNTRY:6|ADULT_CONTEMP:2,COUNTRY:6|ADULT_CONTEMP:2,0.00,13.79,,TOP40_CHR:0.1379|AC_HOT_AC:0.0886|ROCK_ALT_AAA:0.0700|COUNTRY:0.1759|NEWS_TALK_SPORTS:0.1161|PUBLIC_RADIO:0.0508|URBAN_RHYTHMIC:0.0996|SPANISH:0.0433|GOSPEL_CCM:0.2178,TOP40_CHR:0.0786|AC_HOT_AC:0.1402|ROCK_ALT_AAA:0.2516|COUNTRY:0.1540|NEWS_TALK_SPORTS:0.1626|PUBLIC_RADIO:0.0296|URBAN_RHYTHMIC:0.0755|SPANISH:0.0112|GOSPEL_CCM:0.0769|OTHER:0.0198,2.25,10.54,0.50,1.19,1.50,5.62,,
1985,wichita,2020,1,8,763.10,2.19,6.02,0.62,11.58,3.90,19.53,2.08,0.00,0.00,0.00,19.00,COUNTRY:0.1953|ADULT_CONTEMP:0.1274|NEWS_TALK:0.0982|CLASSIC_ROCK:0.0927|ALBUM_ROCK:0.0918,COUNTRY:7|ADULT_CONTEMP:1,COUNTRY:7|ADULT_CONTEMP:1,0.00,11.09,,TOP40_CHR:0.1109|AC_HOT_AC:0.0931|ROCK_ALT_AAA:0.0717|COUNTRY:0.1800|NEWS_TALK_SPORTS:0.1188|PUBLIC_RADIO:0.0520|URBAN_RHYTHMIC:0.1019|SPANISH:0.0488|GOSPEL_CCM:0.2228,TOP40_CHR:0.0427|AC_HOT_AC:0.1103|ROCK_ALT_AAA:0.3226|COUNTRY:0.1691|NEWS_TALK_SPORTS:0.1444|PUBLIC_RADIO:0.0338|URBAN_RHYTHMIC:0.0690|SPANISH:0.0000|GOSPEL_CCM:0.0976|OTHER:0.0104,0.62,8.18,0.13,0.62,0.62,3.80,,
1985,wichita,2026,1,8,775.66,3.86,7.27,4.16,9.67,4.00,16.08,2.09,0.89,0.89,0.89,19.00,ADULT_CONTEMP:0.1621|COUNTRY:0.1608|CLASSIC_ROCK:0.0964|RELIGIOUS_NETWORK:0.0864|NEWS_TALK:0.0860,COUNTRY:6|ADULT_CONTEMP:2,COUNTRY:6|ADULT_CONTEMP:2,0.00,9.39,,TOP40_CHR:0.0939|AC_HOT_AC:0.0954|ROCK_ALT_AAA:0.0730|COUNTRY:0.1833|NEWS_TALK_SPORTS:0.1210|PUBLIC_RADIO:0.0530|URBAN_RHYTHMIC:0.1038|SPANISH:0.0497|GOSPEL_CCM:0.2270,TOP40_CHR:0.0583|AC_HOT_AC:0.1421|ROCK_ALT_AAA:0.2909|COUNTRY:0.1409|NEWS_TALK_SPORTS:0.1317|PUBLIC_RADIO:0.0350|URBAN_RHYTHMIC:0.0700|SPANISH:0.0156|GOSPEL_CCM:0.1050|OTHER:0.0105,4.16,7.05,0.75,3.69,3.71,3.17,,
1985,nashville,1995,1,8,905.21,1.70,7.10,13.78,15.48,4.40,16.62,1.33,0.06,0.06,0.06,23.00,COUNTRY:0.1662|ALBUM_ROCK:0.1566|ADULT_CONTEMP:0.1491|TOP40:0.1378|NEWS_TALK:0.1353,COUNTRY:4|ADULT_CONTEMP:4,COUNTRY:4|ADULT_CONTEMP:4,0.00,8.02,,TOP40_CHR:0.0802|AC_HOT_AC:0.0491|ROCK_ALT_AAA:0.0543|COUNTRY:0.2317|NEWS_TALK_SPORTS:0.1462|PUBLIC_RADIO:0.0472|URBAN_RHYTHMIC:0.0892|SPANISH:0.0228|GOSPEL_CCM:0.2794,TOP40_CHR:0.1325|AC_HOT_AC:0.1434|ROCK_ALT_AAA:0.2262|COUNTRY:0.1598|NEWS_TALK_SPORTS:0.1634|PUBLIC_RADIO:0.0423|URBAN_RHYTHMIC:0.0923|SPANISH:0.0046|GOSPEL_CCM:0.0146|OTHER:0.0209,13.78,14.16,2.50,6.13,12.24,9.05,,CONCENTRATION_MODERATE
1985,nashville,2000,1,8,866.55,1.33,6.61,12.43,16.48,3.94,13.83,0.40,0.44,0.44,0.44,22.88,ADULT_CONTEMP:0.1997|ALBUM_ROCK:0.1561|NEWS_TALK:0.1481|COUNTRY:0.1383|TOP40:0.1243,ADULT_CONTEMP:4|COUNTRY:2|NEWS_TALK:1|TOP40:1,ADULT_CONTEMP:4|COUNTRY:2|NEWS_TALK:1|TOP40:1,12.50,9.63,,TOP40_CHR:0.0963|AC_HOT_AC:0.0529|ROCK_ALT_AAA:0.0530|COUNTRY:0.2263|NEWS_TALK_SPORTS:0.1427|PUBLIC_RADIO:0.0461|URBAN_RHYTHMIC:0.0871|SPANISH:0.0228|GOSPEL_CCM:0.2728,TOP40_CHR:0.1171|AC_HOT_AC:0.1882|ROCK_ALT_AAA:0.2472|COUNTRY:0.1304|NEWS_TALK_SPORTS:0.1684|PUBLIC_RADIO:0.0372|URBAN_RHYTHMIC:0.0904|SPANISH:0.0055|GOSPEL_CCM:0.0075|OTHER:0.0082,12.43,12.39,2.50,5.15,11.01,7.58,,CONCENTRATION_MODERATE
1985,nashville,2006,1,8,835.57,1.39,6.31,12.05,18.97,3.99,15.22,0.38,0.49,0.49,0.49,22.38,ALBUM_ROCK:0.1802|ADULT_CONTEMP:0.1663|COUNTRY:0.1522|NEWS_TALK:0.1472|TOP40:0.1205,COUNTRY:5|ADULT_CONTEMP:3,COUNTRY:5|ADULT_CONTEMP:3,0.00,11.10,,TOP40_CHR:0.1110|AC_HOT_AC:0.0760|ROCK_ALT_AAA:0.0506|COUNTRY:0.2159|NEWS_TALK_SPORTS:0.1362|PUBLIC_RADIO:0.0439|URBAN_RHYTHMIC:0.0831|SPANISH:0.0231|GOSPEL_CCM:0.2602,TOP40_CHR:0.1176|AC_HOT_AC:0.1623|ROCK_ALT_AAA:0.2260|COUNTRY:0.1486|NEWS_TALK_SPORTS:0.1960|PUBLIC_RADIO:0.0390|URBAN_RHYTHMIC:0.0816|SPANISH:0.0076|GOSPEL_CCM:0.0073|OTHER:0.0139,12.05,10.56,1.38,9.41,10.84,5.99,,CONCENTRATION_SEVERE
1985,nashville,2010,1,8,746.93,1.67,5.34,11.01,15.00,3.84,13.55,0.10,0.55,0.55,0.55,24.13,ADULT_CONTEMP:0.1829|ALBUM_ROCK:0.1731|COUNTRY:0.1355|TOP40:0.1101|NEWS_TALK:0.0973,ADULT_CONTEMP:4|COUNTRY:3|TOP40:1,ADULT_CONTEMP:4|COUNTRY:3|TOP40:1,12.50,10.99,,TOP40_CHR:0.1099|AC_HOT_AC:0.0764|ROCK_ALT_AAA:0.0506|COUNTRY:0.2158|NEWS_TALK_SPORTS:0.1361|PUBLIC_RADIO:0.0439|URBAN_RHYTHMIC:0.0831|SPANISH:0.0240|GOSPEL_CCM:0.2602,TOP40_CHR:0.1039|AC_HOT_AC:0.1725|ROCK_ALT_AAA:0.2363|COUNTRY:0.1278|NEWS_TALK_SPORTS:0.1664|PUBLIC_RADIO:0.0362|URBAN_RHYTHMIC:0.0771|SPANISH:0.0069|GOSPEL_CCM:0.0573|OTHER:0.0155,11.01,9.61,1.13,10.31,10.91,5.13,,CONCENTRATION_SEVERE
