genEra,marketId,year,period,nRuns,mean_hhi_x10000,mean_gap12,mean_gap15,mean_chr_total_share,mean_ac_hotac_share,mean_country_share,mean_news_talk_share,mean_nBook,top10_formats_by_mean_share,num1_format_key_histogram,num1_format_raw_histogram
1985,newyork,1995,1,20,485.01,0.0136,0.0304,0.1319,0.1741,0.0688,0.1447,41.30,ADULT_CONTEMP:0.1741|TOP40:0.1319|CLASSIC_ROCK:0.1275|NEWS_TALK:0.1219|URBAN_CONTEMP:0.1165|ALBUM_ROCK:0.0834|COUNTRY:0.0688|ALT_ROCK:0.0283|PUBLIC_NEWS:0.0248|OLDIES:0.0176,TOP40:10|NEWS_TALK:5|ADULT_CONTEMP:2|COUNTRY:2|CLASSIC_ROCK:1,TOP40:10|NEWS_TALK:5|ADULT_CONTEMP:2|COUNTRY:2|CLASSIC_ROCK:1
1985,newyork,2000,1,20,458.06,0.0190,0.0323,0.1407,0.1490,0.0758,0.1532,37.20,ADULT_CONTEMP:0.1490|TOP40:0.1407|URBAN_CONTEMP:0.1244|NEWS_TALK:0.1192|CLASSIC_ROCK:0.1125|COUNTRY:0.0758|ALBUM_ROCK:0.0700|SPORTS_TALK:0.0271|ALT_ROCK:0.0257|OLDIES:0.0252,TOP40:15|NEWS_TALK:5,TOP40:15|NEWS_TALK:5
1985,newyork,2006,1,20,479.84,0.0131,0.0424,0.1396,0.1258,0.0551,0.2084,37.25,NEWS_TALK:0.1701|TOP40:0.1285|ADULT_CONTEMP:0.1251|URBAN_CONTEMP:0.1176|CLASSIC_ROCK:0.1002|ALBUM_ROCK:0.0599|COUNTRY:0.0580|SPORTS_TALK:0.0397|SPANISH:0.0358|SOUL_RNB:0.0340,NEWS_TALK:13|TOP40:6|SPORTS_TALK:1,NEWS_TALK:13|TOP40:6|SPORTS_TALK:1
1985,newyork,2010,1,20,466.43,0.0245,0.0468,0.1334,0.1224,0.0748,0.2163,36.85,NEWS_TALK:0.1623|URBAN_CONTEMP:0.1261|TOP40:0.1260|ADULT_CONTEMP:0.1204|CLASSIC_ROCK:0.0992|COUNTRY:0.0748|ALBUM_ROCK:0.0451|SPORTS_TALK:0.0437|SOUL_RNB:0.0366|PUBLIC_NEWS:0.0270,NEWS_TALK:13|TOP40:4|SPORTS_TALK:2|ADULT_CONTEMP:1,NEWS_TALK:13|TOP40:4|SPORTS_TALK:2|ADULT_CONTEMP:1
1985,newyork,2020,1,20,506.03,0.0333,0.0558,0.1454,0.1154,0.0659,0.2116,36.75,NEWS_TALK:0.1567|TOP40:0.1384|ADULT_CONTEMP:0.1115|URBAN_CONTEMP:0.1084|CLASSIC_ROCK:0.1057|COUNTRY:0.0659|SPORTS_TALK:0.0577|SOUL_RNB:0.0473|PUBLIC_NEWS:0.0410|SPANISH:0.0403,NEWS_TALK:12|TOP40:6|SPORTS_TALK:2,NEWS_TALK:12|TOP40:6|SPORTS_TALK:2
1985,losangeles,1995,1,20,508.36,0.0091,0.0279,0.1295,0.1867,0.0703,0.0765,41.55,ADULT_CONTEMP:0.1867|CLASSIC_ROCK:0.1533|TOP40:0.1295|URBAN_CONTEMP:0.1250|ALBUM_ROCK:0.1059|COUNTRY:0.0703|NEWS_TALK:0.0529|PUBLIC_NEWS:0.0305|ALT_ROCK:0.0267|OLDIES:0.0155,CLASSIC_ROCK:14|TOP40:4|ADULT_CONTEMP:1|URBAN_CONTEMP:1,CLASSIC_ROCK:14|TOP40:4|ADULT_CONTEMP:1|URBAN_CONTEMP:1
1985,losangeles,2000,1,20,469.83,0.0103,0.0257,0.1647,0.1653,0.0646,0.0868,37.60,ADULT_CONTEMP:0.1653|TOP40:0.1647|URBAN_CONTEMP:0.1363|CLASSIC_ROCK:0.1240|ALBUM_ROCK:0.0861|COUNTRY:0.0646|NEWS_TALK:0.0567|OLDIES:0.0312|PUBLIC_NEWS:0.0274|SOUL_RNB:0.0261,TOP40:15|CLASSIC_ROCK:5,TOP40:15|CLASSIC_ROCK:5
1985,losangeles,2006,1,20,445.07,0.0127,0.0263,0.1498,0.1455,0.0706,0.1130,37.65,ADULT_CONTEMP:0.1449|TOP40:0.1415|URBAN_CONTEMP:0.1323|CLASSIC_ROCK:0.1287|NEWS_TALK:0.0760|COUNTRY:0.0743|ALBUM_ROCK:0.0644|SOUL_RNB:0.0444|SPANISH:0.0331|PUBLIC_NEWS:0.0314,NEWS_TALK:6|TOP40:6|CLASSIC_ROCK:5|ADULT_CONTEMP:2|URBAN_CONTEMP:1,NEWS_TALK:6|TOP40:6|CLASSIC_ROCK:5|ADULT_CONTEMP:2|URBAN_CONTEMP:1
1985,losangeles,2010,1,20,446.67,0.0142,0.0311,0.1448,0.1398,0.0804,0.1312,37.65,ADULT_CONTEMP:0.1351|TOP40:0.1345|CLASSIC_ROCK:0.1218|URBAN_CONTEMP:0.1151|NEWS_TALK:0.0966|COUNTRY:0.0804|ALBUM_ROCK:0.0593|SOUL_RNB:0.0480|SPANISH:0.0398|PUBLIC_NEWS:0.0355,NEWS_TALK:9|TOP40:8|SPORTS_TALK:1|ADULT_CONTEMP:1|CLASSIC_ROCK:1,NEWS_TALK:9|TOP40:8|SPORTS_TALK:1|ADULT_CONTEMP:1|CLASSIC_ROCK:1
1985,losangeles,2020,1,20,471.07,0.0191,0.0342,0.1457,0.1213,0.0600,0.1579,38.25,TOP40:0.1373|ADULT_CONTEMP:0.1189|URBAN_CONTEMP:0.1117|CLASSIC_ROCK:0.1117|NEWS_TALK:0.1030|COUNTRY:0.0600|ALBUM_ROCK:0.0562|PUBLIC_NEWS:0.0472|SPORTS_TALK:0.0454|SPANISH:0.0407,NEWS_TALK:11|TOP40:5|CLASSIC_ROCK:2|SPORTS_TALK:2,NEWS_TALK:11|TOP40:5|CLASSIC_ROCK:2|SPORTS_TALK:2
